epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.10531,2.07688,4.15527,1.71183,0.04069,0.1295,0.08293,0.04303,1.63528,4.12685,1.31936,1e-05,1e-05,1e-05
2,9.89631,2.03875,4.24378,1.60147,0.04666,0.14513,0.09151,0.04701,1.60451,4.11389,1.28709,2.9703e-05,2.9703e-05,2.9703e-05
3,14.5242,1.95772,4.14606,1.59814,0.04301,0.125,0.08044,0.04503,1.55771,4.06355,1.23763,4.901e-05,4.901e-05,4.901e-05
4,18.9178,1.80877,4.08596,1.4147,0.06425,0.17969,0.09933,0.05107,1.54272,4.01496,1.1938,6.7921e-05,6.7921e-05,6.7921e-05
5,23.2637,1.64002,3.84031,1.38893,0.06686,0.17969,0.09894,0.05406,1.57301,3.98351,1.1855,8.6436e-05,8.6436e-05,8.6436e-05
6,27.8095,1.79271,3.79711,1.42211,0.0712,0.20763,0.11477,0.05442,1.59897,3.96227,1.19242,0.000104555,0.000104555,0.000104555
7,32.2983,1.67736,3.51442,1.37967,0.05459,0.19531,0.11114,0.05861,1.58266,3.93513,1.19129,0.000122278,0.000122278,0.000122278
8,36.5883,1.69626,3.37334,1.42098,0.04963,0.21094,0.1318,0.06344,1.55338,3.90525,1.1842,0.000139605,0.000139605,0.000139605
9,40.7038,1.59124,3.07035,1.27943,0.05048,0.20763,0.11962,0.06688,1.52923,3.87822,1.16938,0.000156536,0.000156536,0.000156536
10,44.877,1.66899,3.01622,1.30959,0.05088,0.20763,0.13615,0.07523,1.50117,3.84179,1.16387,0.000173071,0.000173071,0.000173071
11,49.0645,1.71488,2.79031,1.33448,0.05494,0.21544,0.13254,0.07152,1.49017,3.79522,1.16876,0.00018921,0.00018921,0.00018921
12,53.1352,1.63212,2.61745,1.32672,0.05556,0.22656,0.13616,0.06997,1.47574,3.737,1.16869,0.000204953,0.000204953,0.000204953
13,57.3582,1.69818,2.50376,1.32831,0.05518,0.25781,0.14938,0.07823,1.45768,3.66547,1.154,0.0002203,0.0002203,0.0002203
14,61.8624,1.69273,2.41274,1.38632,0.06651,0.30708,0.18131,0.10048,1.42316,3.56958,1.13619,0.000235251,0.000235251,0.000235251
15,66.1663,1.56459,2.07703,1.25347,0.11393,0.44975,0.23002,0.13591,1.4202,3.4512,1.13506,0.000249806,0.000249806,0.000249806
16,70.523,1.54233,2.03267,1.29246,0.15788,0.58699,0.31934,0.18516,1.41209,3.30892,1.12681,0.000263965,0.000263965,0.000263965
17,74.7253,1.66274,2.11281,1.33931,0.18867,0.71615,0.43185,0.24301,1.41332,3.16833,1.12365,0.000277728,0.000277728,0.000277728
18,78.9792,1.56645,2.01791,1.29809,0.19835,0.7702,0.51154,0.29553,1.41937,3.0335,1.12707,0.000291095,0.000291095,0.000291095
19,83.367,1.5999,1.80118,1.25183,0.20883,0.78041,0.52247,0.30427,1.44538,3.01085,1.14132,0.000304066,0.000304066,0.000304066
20,87.8433,1.6114,1.69334,1.23126,0.21563,0.78491,0.52052,0.29423,1.45419,3.00843,1.1579,0.000316641,0.000316641,0.000316641
21,92.3047,1.5577,1.85841,1.26926,0.20987,0.74916,0.5122,0.28412,1.47584,3.01532,1.18086,0.00032882,0.00032882,0.00032882
22,96.5594,1.54336,1.68789,1.2597,0.21417,0.79272,0.51268,0.27804,1.48331,3.00671,1.18452,0.000340603,0.000340603,0.000340603
23,101.147,1.66158,1.96618,1.34075,0.2038,0.86662,0.55563,0.2971,1.50148,2.94091,1.19168,0.00035199,0.00035199,0.00035199
24,105.515,1.57098,1.63789,1.29073,0.19386,0.87204,0.55527,0.28589,1.51078,2.87969,1.19788,0.000362981,0.000362981,0.000362981
25,109.912,1.53243,1.59367,1.24165,0.19027,0.91019,0.58253,0.29587,1.5136,2.76938,1.20743,0.000373576,0.000373576,0.000373576
26,114.242,1.51704,1.47707,1.21746,0.18899,0.89907,0.62479,0.30698,1.52883,2.63243,1.2219,0.000383775,0.000383775,0.000383775
27,118.698,1.47854,1.57903,1.27211,0.19672,0.88795,0.63036,0.3198,1.56715,2.56566,1.24224,0.000393578,0.000393578,0.000393578
28,122.969,1.50021,1.48679,1.26095,0.19672,0.88795,0.63036,0.3198,1.56715,2.56566,1.24224,0.000402985,0.000402985,0.000402985
29,127.529,1.40582,1.52904,1.2082,0.20662,0.91139,0.6657,0.33302,1.58789,2.51131,1.25281,0.000411996,0.000411996,0.000411996
30,132.032,1.45395,1.30071,1.21509,0.61634,0.68131,0.69135,0.34095,1.57525,2.47358,1.24183,0.000420611,0.000420611,0.000420611
31,136.379,1.39646,1.47917,1.24084,0.61634,0.68131,0.69135,0.34095,1.57525,2.47358,1.24183,0.00042883,0.00042883,0.00042883
32,140.93,1.41967,1.44455,1.2403,0.60804,0.73655,0.70034,0.35529,1.5891,2.42682,1.25508,0.000436653,0.000436653,0.000436653
33,145.313,1.49038,1.40397,1.24133,0.8111,0.52152,0.72621,0.37115,1.5567,2.32094,1.23505,0.00044408,0.00044408,0.00044408
34,149.693,1.4584,1.5914,1.29465,0.8111,0.52152,0.72621,0.37115,1.5567,2.32094,1.23505,0.000451111,0.000451111,0.000451111
35,154.168,1.41888,1.4264,1.23784,0.82434,0.40781,0.74691,0.39157,1.5541,2.1515,1.22421,0.000457746,0.000457746,0.000457746
36,158.64,1.41864,1.35553,1.21157,0.83578,0.48321,0.758,0.39438,1.56635,1.95787,1.2207,0.000463985,0.000463985,0.000463985
37,163.257,1.48414,1.42006,1.28412,0.83578,0.48321,0.758,0.39438,1.56635,1.95787,1.2207,0.000469828,0.000469828,0.000469828
38,167.589,1.3519,1.23494,1.18765,0.80685,0.58856,0.7768,0.40438,1.54906,1.77312,1.21266,0.000475275,0.000475275,0.000475275
39,172.288,1.44104,1.45943,1.23362,0.79372,0.66327,0.80278,0.43606,1.49476,1.61753,1.18349,0.000480326,0.000480326,0.000480326
40,176.954,1.42449,1.34188,1.19558,0.79372,0.66327,0.80278,0.43606,1.49476,1.61753,1.18349,0.000484981,0.000484981,0.000484981
41,181.487,1.43719,1.36953,1.19563,0.7974,0.71012,0.82988,0.45121,1.48019,1.52818,1.174,0.00048924,0.00048924,0.00048924
42,185.943,1.36345,1.31947,1.19718,0.81081,0.72208,0.83026,0.4556,1.47591,1.45322,1.16424,0.000493103,0.000493103,0.000493103
43,190.337,1.34729,1.24584,1.20822,0.81081,0.72208,0.83026,0.4556,1.47591,1.45322,1.16424,0.00049657,0.00049657,0.00049657
44,194.924,1.40537,1.2759,1.19299,0.81671,0.75549,0.82257,0.43913,1.4628,1.40855,1.16145,0.000499641,0.000499641,0.000499641
45,199.378,1.38489,1.21908,1.17122,0.81671,0.75549,0.82257,0.43913,1.4628,1.40855,1.16145,0.000502316,0.000502316,0.000502316
46,203.905,1.38474,1.22513,1.18001,0.83609,0.73895,0.82914,0.4402,1.49098,1.38259,1.17354,0.000504595,0.000504595,0.000504595
47,208.548,1.33219,1.32909,1.22994,0.83609,0.73895,0.82914,0.4402,1.49098,1.38259,1.17354,0.000506478,0.000506478,0.000506478
48,213.04,1.25037,1.14623,1.14766,0.79303,0.71951,0.82381,0.46008,1.45083,1.31711,1.16714,0.000507965,0.000507965,0.000507965
49,217.682,1.35262,1.20548,1.14263,0.79303,0.71951,0.82381,0.46008,1.45083,1.31711,1.16714,0.000509056,0.000509056,0.000509056
50,222.415,1.32681,1.28404,1.22723,0.78915,0.73325,0.85561,0.49334,1.42865,1.26952,1.15224,0.000509751,0.000509751,0.000509751
51,227.093,1.36451,1.2196,1.19603,0.78915,0.73325,0.85561,0.49334,1.42865,1.26952,1.15224,0.000505,0.000505,0.000505
52,232.067,1.32468,1.22837,1.21557,0.81021,0.76091,0.85539,0.49323,1.42849,1.27877,1.15083,0.0004951,0.0004951,0.0004951
53,236.564,1.39205,1.24353,1.18455,0.81021,0.76091,0.85539,0.49323,1.42849,1.27877,1.15083,0.0004852,0.0004852,0.0004852
54,241.024,1.29011,1.14659,1.15368,0.79883,0.71694,0.83267,0.50312,1.41357,1.29203,1.14517,0.0004753,0.0004753,0.0004753
55,245.428,1.2724,1.18609,1.15238,0.79883,0.71694,0.83267,0.50312,1.41357,1.29203,1.14517,0.0004654,0.0004654,0.0004654
56,250.167,1.35297,1.21904,1.19775,0.8017,0.71649,0.84291,0.49376,1.41443,1.24898,1.13554,0.0004555,0.0004555,0.0004555
57,254.767,1.36825,1.24562,1.2221,0.8017,0.71649,0.84291,0.49376,1.41443,1.24898,1.13554,0.0004456,0.0004456,0.0004456
58,259.55,1.3277,1.19368,1.20926,0.81435,0.78654,0.86729,0.50455,1.41161,1.19108,1.12761,0.0004357,0.0004357,0.0004357
59,263.822,1.38477,1.12906,1.12167,0.81435,0.78654,0.86729,0.50455,1.41161,1.19108,1.12761,0.0004258,0.0004258,0.0004258
60,268.311,1.32365,1.27974,1.17376,0.80992,0.81333,0.88702,0.51379,1.38904,1.0851,1.13435,0.0004159,0.0004159,0.0004159
61,272.911,1.29972,1.06557,1.13383,0.80992,0.81333,0.88702,0.51379,1.38904,1.0851,1.13435,0.000406,0.000406,0.000406
62,277.531,1.30147,1.12021,1.18728,0.82919,0.83605,0.89707,0.51754,1.36755,1.00417,1.13246,0.0003961,0.0003961,0.0003961
63,281.943,1.26104,1.0812,1.14323,0.82919,0.83605,0.89707,0.51754,1.36755,1.00417,1.13246,0.0003862,0.0003862,0.0003862
64,286.347,1.28731,1.12808,1.17002,0.82621,0.84115,0.88592,0.51856,1.35882,0.98287,1.13643,0.0003763,0.0003763,0.0003763
65,290.824,1.30457,1.31644,1.17944,0.82621,0.84115,0.88592,0.51856,1.35882,0.98287,1.13643,0.0003664,0.0003664,0.0003664
66,295.208,1.27103,1.11356,1.16576,0.85405,0.80145,0.88453,0.51617,1.35521,1.0424,1.13491,0.0003565,0.0003565,0.0003565
67,299.637,1.27749,1.12528,1.17334,0.85405,0.80145,0.88453,0.51617,1.35521,1.0424,1.13491,0.0003466,0.0003466,0.0003466
